test result name	overall	both	lemma	feats	neither
test_1	4.248546066723535e-05	0.0001748521902715794	0.0	0.0	0.0
test_2	5.819814304666715e-05	0.00023456396130105972	0.0	0.0008304498269896543	0.0
test_3	1.5263748597116322e-05	5.6100510615220145e-05	0.0	0.0027681660899653293	0.0
test_4	7.387001326353282e-06	3.485286213367189e-05	0.0	0.001937716262975786	0.0
test_5	1.973268033872433e-05	8.121136791205963e-05	0.0	0.0	0.0
test_6	2.289562289556346e-05	9.422870196174049e-05	0.0	0.0	0.0
test_7	4.566880930517714e-05	0.0001808149690942784	0.0	0.0005536332179930659	0.0
test_8	1.2815018875650397e-05	5.34970438054172e-05	0.0	0.0005536332179930659	0.0
test_9	2.5568819508242635e-05	0.00010691010481078678	0.0	0.0005536332179930659	0.0
test_10	7.166615651460484e-05	0.00030107833915593574	0.0	0.0005536332179930659	0.0
test_11	1.2794612794658766e-05	5.3329078204766844e-05	0.0	0.0005536332179930659	0.0
test_12	1.6059585756511563e-05	6.130744423549217e-05	0.0	0.0005536332179930659	0.0
test_13	7.509437812497355e-06	2.788228970751483e-05	0.0	0.0005536332179930659	0.0
test_14	1.2508927660415115e-05	5.148145659761294e-05	0.0	0.0	0.0
test_15	1.4835220895792478e-05	6.105549583468317e-05	0.0	0.0	0.0
test_16	5.509641873319149e-06	2.2675356087242804e-05	0.0	0.0	0.0
test_17	8.019589837704455e-06	2.9226014512162557e-05	0.0	0.0005536332179930659	0.0
test_18	3.3057851239470804e-06	1.2429454447682176e-05	0.0	0.0008304498269895433	0.0
test_19	4.428119579624745e-06	1.4948938457659544e-05	0.0	0.0008304498269895433	0.0
test_20	3.636363636369544e-05	0.00015452835259333053	0.0	0.0005536332179930659	0.0
test_21	1.1182532394682365e-05	4.299919376504757e-05	0.0	0.0008304498269895433	0.0
test_22	6.264666870703373e-06	2.939398011270189e-05	0.0	0.0005536332179930659	0.0
test_23	6.029996939085902e-05	0.00023456396130061563	0.0	0.0008304498269897653	0.0
test_24	5.652484440371586e-06	2.3767132491192555e-05	0.0	0.0008304498269897653	0.0
test_25	3.775124987170919e-06	1.3689196452282282e-05	0.0	0.0008304498269895433	0.0
