test result name	overall	both	lemma	feats	neither
test_1	0.6517293233082706	0.7009107468123862	0.6374291115311909	0.6774049217002237	0.5859574468085106
test_2	0.6767919799498746	0.7311475409836066	0.6521739130434783	0.7033557046979866	0.6157446808510638
test_3	0.6987468671679198	0.7355191256830601	0.681663516068053	0.7337807606263983	0.6417021276595745
test_4	0.7058646616541354	0.7406193078324226	0.6858223062381852	0.7404921700223713	0.6548936170212766
test_5	0.7189974937343357	0.7519125683060108	0.7009451795841211	0.748993288590604	0.672340425531915
test_6	0.7298245614035087	0.7591985428051002	0.703969754253308	0.7682326621923938	0.6880851063829787
test_7	0.7316290726817043	0.7744990892531877	0.6964083175803404	0.7695749440715884	0.6851063829787234
test_8	0.7335338345864664	0.77959927140255	0.6994328922495274	0.774496644295302	0.6791489361702128
test_9	0.7387468671679198	0.7788706739526412	0.7054820415879017	0.7776286353467562	0.692340425531915
test_10	0.7388471177944862	0.7803278688524591	0.7111531190926276	0.7807606263982103	0.6817021276595744
test_11	0.7487719298245614	0.7897996357012749	0.7168241965973536	0.7865771812080538	0.7008510638297872
test_12	0.752280701754386	0.7919854280510018	0.720226843100189	0.7897091722595079	0.7063829787234043
test_13	0.7533834586466166	0.7923497267759563	0.7236294896030244	0.7897091722595079	0.7068085106382979
test_14	0.7520802005012532	0.7923497267759563	0.7236294896030245	0.7892617449664429	0.7017021276595745
test_15	0.7559899749373434	0.7930783242258652	0.7262759924385633	0.789261744966443	0.7144680851063829
test_16	0.7523809523809524	0.7912568306010929	0.718336483931947	0.8008948545861297	0.6991489361702128
test_17	0.7503759398496241	0.7930783242258652	0.7130434782608696	0.7906040268456376	0.7042553191489362
test_18	0.7547869674185465	0.7959927140255009	0.7194706994328922	0.7919463087248322	0.711063829787234
test_19	0.7637092731829573	0.7967213114754099	0.7285444234404537	0.8067114093959731	0.7238297872340426
test_20	0.7607017543859649	0.8003642987249545	0.729678638941399	0.7937360178970917	0.7178723404255319
test_21	0.7660150375939849	0.8007285974499089	0.734593572778828	0.7986577181208052	0.7297872340425532
test_22	0.7651127819548872	0.7923497267759563	0.7410207939508506	0.8004474272930648	0.7268085106382979
test_23	0.7638095238095238	0.7996357012750456	0.7387523629489603	0.7910514541387025	0.7242553191489363
test_24	0.7664160401002506	0.7956284153005464	0.7459357277882798	0.7968680089485459	0.7263829787234043
test_25	0.7654135338345864	0.7970856102003643	0.7349716446124763	0.7991051454138702	0.7306382978723405
