test result name	overall	both	lemma	feats	neither
test_1	7.78286568553499e-05	4.6980600595269983e-05	0.00021640860345700785	6.486194315574734e-05	0.000792394748755143
test_2	5.0693148912484e-05	0.00011360280821881563	0.00023298944757910167	9.729291473353774e-05	0.00031253961068355984
test_3	5.9095106186513036e-05	9.34303469464215e-05	5.374480508568702e-05	3.803632468990514e-05	0.0001767315527387292
test_4	9.782853122775048e-05	1.9376179906549496e-05	0.00012063993482014368	0.00013613000415402254	0.0002922589406971765
test_5	2.649229590279134e-05	5.361627864564067e-05	6.203522714670617e-05	4.484282489780611e-05	5.9755545495643325e-05
test_6	5.095445380376429e-05	3.503638010471377e-05	0.00019954188271209539	0.00016135409315876093	0.00013870529651427432
test_7	1.0110489255588107e-05	8.414039767612458e-05	6.375048688334051e-05	4.604397199314825e-05	0.00029877772747843867
test_8	2.799982412138302e-05	6.901105172185673e-05	4.145211030553986e-05	8.087723776217803e-05	5.5047532820207135e-05
test_9	2.9185746320603556e-05	1.672190868640122e-05	0.00018639155806332575	0.00010730247386236957	0.00011878678134891185
test_10	4.5929359740126685e-05	9.900431650844421e-05	3.058879863926389e-05	1.0009559128887346e-05	0.0001495699411498963
test_11	2.0743588293958837e-05	2.203045112669777e-05	0.0001935384736330148	7.527188464984125e-05	1.5572657311002658e-05
test_12	1.4512471655292458e-05	5.494341425549276e-05	5.7175324559399776e-05	2.602485373515151e-05	3.440470801269191e-05
test_13	3.5477164088026925e-05	6.635678050170846e-05	0.0001363631490740591	0.00015014338693442042	0.00013110004526939445
test_14	4.2070087499346265e-05	0.00015129345954389972	0.00010491672056656132	5.685429585289281e-05	0.00011480307831585046
test_15	9.487377591765878e-06	5.5208841377329954e-05	2.3441883069352798e-05	5.885620767831501e-05	0.00020534178361264477
test_16	3.386913398795155e-05	4.0610349667069556e-05	0.0002358482138070661	8.608220850914172e-05	8.257129923039397e-05
test_17	0.0001100495599901663	0.0001255470287091498	0.00019925600608916572	5.925659004346606e-05	0.0002806699864191242
test_18	5.3004692181501945e-05	0.00010484371319274821	8.233246736555344e-05	1.4013382780730943e-05	0.0001437754640107869
test_19	3.87535254176008e-05	3.92832140568844e-05	5.517418819978026e-05	5.325085456620027e-05	0.00022707107288355566
test_20	3.21204012537768e-05	8.838723162818418e-05	6.718100635705326e-05	3.28313539431635e-05	0.00032340425531929284
test_21	2.4462157901194992e-05	1.2740501856400854e-05	8.947938293546454e-05	4.804588381912556e-05	5.432322317799887e-05
test_22	3.041186927221773e-05	2.2561305370594198e-05	0.00010863311666275965	0.00014894223983907828	1.919420552287665e-05
test_23	2.0341580768912237e-05	0.00010617084880282235	3.9165097323157205e-05	0.00011130629751410215	5.903123585326853e-05
test_24	2.1708406354403742e-05	1.7783617174527144e-05	2.086899346420701e-05	2.081988298818782e-05	6.98958804888905e-05
test_25	2.03013800165186e-05	5.122743454732959e-05	0.0002707251617883877	0.00019498621183222653	0.00016043458578540726
