test result name	overall	both	lemma	feats	neither
test_1	0.6517293233082706	0.7009107468123862	0.6374291115311909	0.6774049217002237	0.5859574468085106
test_2	0.6977443609022556	0.7267759562841529	0.6805293005671078	0.7328859060402684	0.6497872340425531
test_3	0.7250125313283208	0.7646630236794172	0.6952741020793952	0.7642058165548098	0.6748936170212767
test_4	0.7374436090225565	0.7741347905282332	0.7066162570888469	0.7785234899328859	0.6902127659574468
test_5	0.7474686716791978	0.7821493624772313	0.7209829867674858	0.7856823266219239	0.7004255319148937
test_6	0.753483709273183	0.7985428051001822	0.7206049149338374	0.7950782997762864	0.6982978723404256
test_7	0.7573934837092732	0.7959927140255009	0.725141776937618	0.7910514541387024	0.716595744680851
test_8	0.76	0.7989071038251366	0.7308128544423441	0.7986577181208052	0.7106382978723405
test_9	0.7606015037593985	0.8025500910746812	0.7285444234404537	0.7941834451901566	0.7157446808510639
test_10	0.7632080200501253	0.7996357012750456	0.7289224952741021	0.8017897091722593	0.7225531914893616
test_11	0.7705263157894736	0.8029143897996356	0.7379962192816636	0.8080536912751679	0.7336170212765957
test_12	0.7680200501253133	0.8036429872495446	0.7387523629489603	0.804026845637584	0.7251063829787233
test_13	0.7683208020050125	0.8018214936247723	0.7376181474480152	0.8035794183445191	0.7302127659574469
test_14	0.7642105263157895	0.7996357012750455	0.7368620037807182	0.8004474272930648	0.7191489361702128
test_15	0.7708270676691729	0.8021857923497269	0.7391304347826086	0.8053691275167786	0.7370212765957447
test_16	0.7645112781954887	0.8072859744990893	0.72703213610586	0.7950782997762864	0.727659574468085
test_17	0.7659147869674185	0.7974499089253188	0.7338374291115313	0.8022371364653245	0.7306382978723405
test_18	0.7656140350877194	0.7992714025500909	0.7304347826086957	0.7991051454138702	0.7340425531914894
test_19	0.7656140350877193	0.7963570127504553	0.7300567107750473	0.7991051454138702	0.7378723404255318
test_20	0.7661152882205513	0.805464480874317	0.7334593572778829	0.7986577181208053	0.7259574468085106
test_21	0.7682205513784461	0.7978142076502732	0.7353497164461249	0.8022371364653245	0.7382978723404257
test_22	0.7679197994987469	0.8043715846994537	0.7311909262759924	0.8044742729306489	0.7319148936170212
test_23	0.7670175438596492	0.7938069216757742	0.7372400756143668	0.8049217002237137	0.7331914893617021
test_24	0.7659147869674184	0.7934426229508197	0.7334593572778828	0.807158836689038	0.731063829787234
test_25	0.766516290726817	0.7967213114754099	0.7376181474480152	0.7991051454138702	0.7327659574468085
