test result name	both	lemma	feats	neither
total_instances_1	0.0	0.0	0.0	0.0
total_instances_2	25.839999999996508	22.159999999996217	31.76000000012573	18.400000000023283
total_instances_3	46.23999999999796	23.599999999998545	94.96000000007916	33.43999999994412
total_instances_4	55.75999999999476	28.400000000001455	57.839999999967404	64.96000000007916
total_instances_5	67.36000000000786	72.9600000000064	48.96000000007916	100.5600000001723
total_instances_6	131.7600000000093	88.16000000000349	119.19999999995343	120.23999999999069
total_instances_7	64.23999999999069	106.23999999999069	65.59999999997672	113.76000000012573
total_instances_8	155.36000000000058	98.56000000001222	175.76000000006752	85.35999999992782
total_instances_9	124.55999999999767	108.15999999998894	131.7599999999511	94.95999999996275
total_instances_10	131.7600000000093	105.43999999998778	146.95999999990454	97.20000000001164
total_instances_11	109.60000000000582	103.75999999999476	94.0	84.55999999993946
total_instances_12	113.04000000000815	56.79999999998836	94.79999999998836	45.839999999967404
total_instances_13	30.95999999999185	38.16000000000349	28.240000000048894	38.79999999998836
total_instances_14	59.20000000001164	60.16000000000349	55.759999999951106	59.43999999994412
total_instances_15	48.16000000000349	42.39999999999418	47.04000000003725	42.96000000007916
total_instances_16	19.360000000015134	35.20000000001164	21.20000000001164	36.56000000005588
total_instances_17	11.440000000031432	40.960000000020955	12.960000000020955	43.44000000000233
total_instances_18	37.20000000001164	70.56000000002678	37.35999999992782	69.44000000000233
total_instances_19	44.79999999998836	52.160000000032596	48.55999999999767	50.0
total_instances_20	62.79999999998836	43.04000000003725	70.39999999999418	43.839999999967404
total_instances_21	41.60000000000582	53.360000000015134	47.76000000000931	56.23999999996158
total_instances_22	33.839999999967404	34.0	35.839999999967404	37.35999999998603
total_instances_23	34.15999999997439	22.639999999984866	29.839999999967404	25.839999999967404
total_instances_24	33.20000000001164	20.959999999962747	33.20000000001164	20.95999999999185
total_instances_25	0.0	0.0	0.0	0.0
