test result name	both	lemma	feats	neither
total_instances_1	0.0	0.0	0.0	0.0
total_instances_2	36.15999999998894	16.160000000003492	36.15999999997439	16.160000000032596
total_instances_3	22.160000000003492	33.360000000015134	22.160000000032596	33.35999999998603
total_instances_4	46.960000000020955	20.39999999999418	46.95999999999185	20.39999999999418
total_instances_5	104.0	52.55999999999767	104.0	52.560000000026776
total_instances_6	138.2399999999907	112.95999999996275	138.2399999999907	112.95999999999185
total_instances_7	279.7600000000675	137.03999999997905	279.7600000000093	137.03999999997905
total_instances_8	193.20000000001164	185.35999999992782	193.20000000001164	185.35999999998603
total_instances_9	207.20000000001164	144.2399999999907	207.1999999999971	144.2399999999907
total_instances_10	188.95999999990454	169.36000000010245	188.95999999999185	169.36000000000058
total_instances_11	195.44000000006054	151.43999999994412	195.43999999998778	151.44000000000233
total_instances_12	105.03999999997905	139.43999999994412	105.0399999999936	139.44000000000233
total_instances_13	120.55999999993946	136.2399999999907	120.55999999999767	136.24000000000524
total_instances_14	66.1600000000326	125.76000000000931	66.15999999998894	125.75999999999476
total_instances_15	69.8399999999674	48.0	69.84000000000378	48.0
total_instances_16	69.8399999999674	108.80000000004657	69.84000000000015	108.79999999999927
total_instances_17	84.1600000000326	72.23999999987427	84.16000000000349	72.23999999999796
total_instances_18	66.80000000004657	74.95999999996275	66.79999999999927	74.95999999999549
total_instances_19	38.559999999939464	81.44000000006054	38.55999999999767	81.44000000000233
total_instances_20	44.95999999996275	86.0	44.95999999999913	86.0
total_instances_21	26.15999999991618	46.23999999999069	26.160000000001673	46.23999999999796
total_instances_22	0.5600000000558794	14.239999999990687	0.5599999999994907	14.239999999999782
total_instances_23	13.039999999920838	7.7600000001257285	13.039999999999054	7.759999999999309
total_instances_24	11.760000000009313	5.040000000037253	11.759999999999309	5.040000000000873
total_instances_25	0.0	0.0	0.0	0.0
