test result name	both	lemma	feats	neither
total_instances_1	0.0	0.0	0.0	0.0
total_instances_2	37.84000000002561	34.15999999997439	37.839999999967404	34.15999999991618
total_instances_3	23.84000000002561	25.440000000031432	23.839999999967404	25.43999999994412
total_instances_4	57.44000000000233	53.839999999967404	57.44000000000233	53.84000000002561
total_instances_5	38.0	110.40000000002328	38.0	110.39999999999418
total_instances_6	63.35999999998603	148.40000000002328	63.35999999998603	148.39999999999418
total_instances_7	62.95999999990454	148.2399999999907	62.95999999999185	148.2399999999907
total_instances_8	42.79999999998836	85.7599999999511	42.80000000000291	85.75999999999476
total_instances_9	67.84000000002561	81.20000000001164	67.83999999998196	81.19999999999709
total_instances_10	39.36000000004424	86.96000000007916	39.36000000000786	86.9600000000064
total_instances_11	13.759999999892898	61.59999999997672	13.759999999994761	61.599999999998545
total_instances_12	20.800000000046566	18.16000000014901	20.80000000000291	18.160000000003492
total_instances_13	29.359999999869615	27.040000000037253	29.359999999993306	27.040000000000873
total_instances_14	15.760000000125729	16.559999999939464	15.760000000005675	16.55999999999767
total_instances_15	40.64000000001397	21.43999999994412	40.63999999999942	21.439999999995052
total_instances_16	8.64000000001397	7.040000000037253	8.640000000003056	7.039999999997235
total_instances_17	18.959999999962747	20.960000000079162	18.959999999999127	20.960000000002765
total_instances_18	15.839999999967404	10.960000000079162	15.840000000001965	10.960000000002765
total_instances_19	19.760000000009313	28.400000000023283	19.7599999999984	28.399999999999636
total_instances_20	13.359999999869615	2.800000000046566	13.360000000000582	2.7999999999992724
total_instances_21	5.040000000037253	5.759999999892898	5.040000000000873	5.760000000000218
total_instances_22	10.0	2.159999999916181	10.0	2.1599999999998545
total_instances_23	2.800000000046566	6.400000000023283	2.7999999999992724	6.399999999999636
total_instances_24	4.0	2.800000000046566	4.0	2.800000000000182
total_instances_25	0.0	0.0	0.0	0.0
