test result name	both	lemma	feats	neither
total_instances_1	0.0	0.0	0.0	0.0
total_instances_2	62.16000000000349	30.95999999999185	62.15999999997439	30.959999999962747
total_instances_3	66.64000000001397	30.960000000020955	66.63999999995576	30.960000000020955
total_instances_4	20.24000000001979	5.039999999979045	20.239999999990687	5.040000000037253
total_instances_5	24.960000000079162	69.35999999998603	24.960000000020955	69.36000000001513
total_instances_6	49.759999999951106	95.03999999997905	49.75999999998021	95.04000000003725
total_instances_7	119.03999999997905	102.79999999998836	119.03999999997905	102.80000000000291
total_instances_8	23.20000000001164	90.56000000005588	23.19999999999709	90.56000000001222
total_instances_9	63.440000000060536	79.76000000006752	63.439999999987776	79.76000000000931
total_instances_10	27.44000000000233	107.59999999997672	27.439999999987776	107.60000000000582
total_instances_11	2.0	41.199999999953434	2.0	41.19999999999709
total_instances_12	19.199999999953434	35.04000000003725	19.19999999999709	35.04000000000087
total_instances_13	12.56000000005588	33.43999999994412	12.560000000004948	33.43999999999505
total_instances_14	24.56000000005588	22.16000000014901	24.560000000004948	22.160000000003492
total_instances_15	58.15999999991618	34.639999999897555	58.15999999999622	34.63999999999578
total_instances_16	69.04000000003725	12.400000000023283	69.04000000000451	12.400000000001455
total_instances_17	54.160000000032596	8.0	54.16000000000349	8.0
total_instances_18	29.440000000060536	2.9600000000791624	29.44000000000051	2.960000000002765
total_instances_19	9.839999999967404	5.839999999967404	9.840000000000146	5.8400000000019645
total_instances_20	8.400000000023283	20.0	8.399999999999636	20.0
total_instances_21	6.560000000055879	4.960000000079162	6.559999999999491	4.959999999999127
total_instances_22	7.199999999953434	12.559999999939464	7.200000000000728	12.5600000000004
total_instances_23	1.440000000060536	3.199999999953434	1.4400000000005093	3.199999999999818
total_instances_24	0.15999999991618097	1.1999999999534339	0.15999999999985448	1.199999999999818
total_instances_25	0.0	0.0	0.0	0.0
